School Name,Grade,Year,Category,Number Tested,Mean Scale Score
NEIGHBORHOOD SCHOOL,4,2013,Female,25,312
NEIGHBORHOOD SCHOOL,4,2013,Male,19,296
NEIGHBORHOOD SCHOOL,4,2014,Female,11,315
NEIGHBORHOOD SCHOOL,4,2014,Male,9,300
NEIGHBORHOOD SCHOOL,5,2013,Female,15,306
NEIGHBORHOOD SCHOOL,5,2013,Male,13,302
NEIGHBORHOOD SCHOOL,5,2014,Female,14,307
NEIGHBORHOOD SCHOOL,5,2014,Male,14,289
NEIGHBORHOOD SCHOOL,All Grades,2013,Female,59,305
NEIGHBORHOOD SCHOOL,All Grades,2013,Male,51,291
NEIGHBORHOOD SCHOOL,All Grades,2014,Female,39,308
NEIGHBORHOOD SCHOOL,All Grades,2014,Male,37,290
EARTH SCHOOL,3,2013,Female,22,313
EARTH SCHOOL,3,2013,Male,11,265
EARTH SCHOOL,3,2014,Female,17,317
EARTH SCHOOL,3,2014,Male,12,318
EARTH SCHOOL,4,2013,Female,15,310
EARTH SCHOOL,4,2013,Male,19,312
EARTH SCHOOL,4,2014,Female,16,310
EARTH SCHOOL,4,2014,Male,7,302
EARTH SCHOOL,5,2013,Female,14,314
EARTH SCHOOL,5,2013,Male,14,297
EARTH SCHOOL,5,2014,Female,9,322
EARTH SCHOOL,5,2014,Male,9,319
EARTH SCHOOL,All Grades,2013,Female,51,313
EARTH SCHOOL,All Grades,2013,Male,44,295
EARTH SCHOOL,All Grades,2014,Female,42,315
EARTH SCHOOL,All Grades,2014,Male,28,314
SCHOOL FOR GLOBAL LEADERS,6,2013,Female,26,298
SCHOOL FOR GLOBAL LEADERS,6,2013,Male,34,277
SCHOOL FOR GLOBAL LEADERS,6,2014,Female,34,289
SCHOOL FOR GLOBAL LEADERS,6,2014,Male,39,286
SCHOOL FOR GLOBAL LEADERS,7,2013,Female,44,291
SCHOOL FOR GLOBAL LEADERS,7,2013,Male,40,275
SCHOOL FOR GLOBAL LEADERS,7,2014,Female,30,291
SCHOOL FOR GLOBAL LEADERS,7,2014,Male,31,283
SCHOOL FOR GLOBAL LEADERS,8,2013,Female,41,289
SCHOOL FOR GLOBAL LEADERS,8,2013,Male,40,289
SCHOOL FOR GLOBAL LEADERS,8,2014,Female,46,295
